RISULTATI RISPOSTA DENSE (NOMIC) CON GEMINI: DOCUMENT STRUCTURE BASED CHUNKING

timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
2025-11-04 09:46:05,A chi sono riservati principalmente gli appelli straordinari?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.130
2025-11-04 09:46:05,Chi decide se istituire o meno un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.133
2025-11-04 09:46:05,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.131
2025-11-04 09:46:05,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.153
2025-11-04 09:46:05,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.144
2025-11-04 09:46:05,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Non presente nei documenti.,0.000,0.000,0.000,1.000,0.928
2025-11-04 09:46:05,Quando inizia e quando termina l'anno accademico 2025/2026?,"Il contesto menziona l'anno accademico 2025/2026. Per l'anno accademico 2025/2026, il periodo del primo semestre è 15/09/2025 - 12/12/2025. Non sono presenti le date di inizio e fine dell'intero anno accademico.",1.000,0.000,0.000,0.500,0.473
2025-11-04 09:46:05,Quali sono le principali festività nazionali indicate nel calendario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.127
2025-11-04 09:46:05,Quali sono i giorni festivi specifici per la sede di Perugia?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.115
2025-11-04 09:46:05,Qual è il periodo previsto per le vacanze natalizie?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.136
2025-11-04 09:46:05,Quando iniziano e terminano le vacanze pasquali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.135
2025-11-04 09:46:05,Durante quali periodi le attività didattiche sono sospese per le vacanze?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.123
2025-11-04 09:46:05,Le lezioni iniziano a ottobre 2025?,"Il contesto indica che le lezioni per l'anno accademico 2025/2026 iniziano il 15 settembre 2025. In particolare, la Fonte 5 riporta: ""periodo"": ""15/09/2025 - 12/12/2025"".",0.750,0.875,0.200,1.000,0.555
2025-11-04 09:46:05,Per quale anno accademico si riferisce il calendario delle lauree?,Non presente nei documenti.,1.000,0.000,0.250,1.000,0.129
2025-11-04 09:46:05,Quando si svolge la prima sessione di laurea dell'anno accademico 2025-2026?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.134
2025-11-04 09:46:05,Qual è l'ultima sessione di laurea prevista nel calendario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.129
2025-11-04 09:46:05,Quante sessioni di laurea sono previste complessivamente nel calendario 2025-2026?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.133
2025-11-04 09:46:05,Le date delle lauree sono identiche per i corsi triennali e magistrali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.141
2025-11-04 09:46:05,Vengono specificate le scadenze per la presentazione della domanda di laurea?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.158
2025-11-04 09:46:05,È indicato l’orario preciso di inizio delle sedute di laurea?,Non presente nei documenti.,1.000,0.000,0.450,1.000,0.903
2025-11-04 09:46:05,Che cos'è il programma Erasmus+?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.139
2025-11-04 09:46:05,Quali sono le due tipologie principali di mobilità previste dal programma Erasmus+?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.137
2025-11-04 09:46:05,Chi è il delegato Erasmus del Dipartimento di Ingegneria?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.131
2025-11-04 09:46:05,Quali attività possono essere svolte durante la mobilità a fini di studio?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.137
2025-11-04 09:46:05,Quali sono i requisiti per partecipare al programma Erasmus+ Traineeship?,Non presente nei documenti.,0.000,0.000,0.000,0.500,0.132
2025-11-04 09:46:05,In quale periodo viene pubblicato il bando Erasmus?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.156
2025-11-04 09:46:05,Dove è possibile trovare i bandi Erasmus aggiornati?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.152
2025-11-04 09:46:05,È possibile riconoscere CFU per un tirocinio svolto con Erasmus Traineeship?,"Sì, è possibile riconoscere CFU per attività di tirocinio svolte in ambito internazionale. Il contesto indica che ""Lo studente ha anche la possibilità di svolgere tirocini [...] sia in ambito nazionale che internazionale"" (Fonte 1). Inoltre, ""In merito alle attività di tirocinio (aziendale o interno) [...] ogni studente può fare esperienza in una singola azienda, o laboratorio interno, per un massimo di 9 CFU. Ulteriori attività di tirocinio, fino al raggiungimento del numero massimo di CFU a scelta libera a disposizione nel curriculum, potranno essere svolte solo presso altra azienda o laboratorio interno"" (Fonte 2).",0.714,0.792,0.000,1.000,0.357
2025-11-04 09:46:05,Chi deve approvare il Learning Agreement?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.133
2025-11-04 09:46:05,Qual è la lingua richiesta per partecipare a un tirocinio Erasmus?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.124
2025-11-04 09:46:05,Chi approva il riconoscimento dei CFU dopo il tirocinio Erasmus?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.134
2025-11-04 09:46:05,Quali documenti sono richiesti per un tirocinio autonomo?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.140
2025-11-04 09:46:05,Quando si aprono le immatricolazioni per l'anno accademico 2025/2026?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.130
2025-11-04 09:46:05,Qual è la scadenza per immatricolarsi ai corsi di laurea triennale e magistrale a ciclo unico ad accesso libero?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.128
2025-11-04 09:46:05,Fino a quando è possibile immatricolarsi ai corsi di laurea magistrale biennali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.126
2025-11-04 09:46:05,Come posso presentare la domanda di immatricolazione?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.130
2025-11-04 09:46:05,Chi può beneficiare dell'esenzione totale dalle tasse universitarie?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.119
